number,title,category,phase,priority,labels,dependencies,scope,description,deliverables,acceptance_criteria,status,closed_at,closed_by,closure_evidence,closure_validation
1,Initialize src-first monorepo layout,Architecture,Foundation,P0,architecture;foundation;p0;codex-ready,,"Deliver a granular, testable increment for Architecture: Initialize src-first monorepo layout.","Implement or specify `Initialize src-first monorepo layout` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Initialize src-first monorepo layout | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Initialize src-first monorepo layout` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-12,Codex batch closure audit,docs/m01_completion_report.md | src/rietveld_next/core/architecture/ | docs/ground_truths.md,PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next/core/architecture
2,Define workspace build conventions,Architecture,Foundation,P0,architecture;foundation;p0;codex-ready;design,,"Deliver a granular, testable increment for Architecture: Define workspace build conventions.","Implement or specify `Define workspace build conventions` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Define workspace build conventions | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Define workspace build conventions` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-12,Codex batch closure audit,docs/m01_completion_report.md | src/rietveld_next/core/architecture/ | docs/ground_truths.md,PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next/core/architecture
3,Create package boundary document,Architecture,Foundation,P0,architecture;foundation;p0;codex-ready;design,,"Deliver a granular, testable increment for Architecture: Create package boundary document.","Implement or specify `Create package boundary document` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Create package boundary document | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Create package boundary document` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-12,Codex batch closure audit,docs/m01_completion_report.md | src/rietveld_next/core/architecture/ | docs/ground_truths.md,PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next/core/architecture
4,Implement shared error taxonomy,Architecture,Foundation,P0,architecture;foundation;p0;codex-ready;implementation,,"Deliver a granular, testable increment for Architecture: Implement shared error taxonomy.","Implement or specify `Implement shared error taxonomy` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement shared error taxonomy | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement shared error taxonomy` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-12,Codex batch closure audit,docs/m01_completion_report.md | src/rietveld_next/core/architecture/ | docs/ground_truths.md,PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next/core/architecture
5,Define plugin capability model,Architecture,Foundation,P0,architecture;foundation;p0;codex-ready;design,,"Deliver a granular, testable increment for Architecture: Define plugin capability model.","Implement or specify `Define plugin capability model` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Define plugin capability model | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Define plugin capability model` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-12,Codex batch closure audit,docs/m01_completion_report.md | src/rietveld_next/core/architecture/ | docs/ground_truths.md,PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next/core/architecture
6,Create schema versioning policy,Architecture,Foundation,P0,architecture;foundation;p0;codex-ready;design,,"Deliver a granular, testable increment for Architecture: Create schema versioning policy.","Implement or specify `Create schema versioning policy` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Create schema versioning policy | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Create schema versioning policy` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-12,Codex batch closure audit,docs/m01_completion_report.md | src/rietveld_next/core/architecture/ | docs/ground_truths.md,PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next/core/architecture
7,Implement configuration loading system,Architecture,Foundation,P0,architecture;foundation;p0;codex-ready;implementation,,"Deliver a granular, testable increment for Architecture: Implement configuration loading system.","Implement or specify `Implement configuration loading system` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement configuration loading system | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement configuration loading system` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-12,Codex batch closure audit,docs/m01_completion_report.md | src/rietveld_next/core/architecture/ | docs/ground_truths.md,PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next/core/architecture
8,Define provenance event envelope,Architecture,Foundation,P0,architecture;foundation;p0;codex-ready;design,,"Deliver a granular, testable increment for Architecture: Define provenance event envelope.","Implement or specify `Define provenance event envelope` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Define provenance event envelope | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Define provenance event envelope` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-12,Codex batch closure audit,docs/m01_completion_report.md | src/rietveld_next/core/architecture/ | docs/ground_truths.md,PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next/core/architecture
9,Implement environment capture module,Architecture,Foundation,P0,architecture;foundation;p0;codex-ready;implementation,,"Deliver a granular, testable increment for Architecture: Implement environment capture module.","Implement or specify `Implement environment capture module` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement environment capture module | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement environment capture module` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-12,Codex batch closure audit,docs/m01_completion_report.md | src/rietveld_next/core/architecture/ | docs/ground_truths.md,PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next/core/architecture
10,Create architecture decision record workflow,Architecture,Foundation,P0,architecture;foundation;p0;codex-ready;design,,"Deliver a granular, testable increment for Architecture: Create architecture decision record workflow.","Implement or specify `Create architecture decision record workflow` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Create architecture decision record workflow | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Create architecture decision record workflow` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-12,Codex batch closure audit,docs/m01_completion_report.md | src/rietveld_next/core/architecture/ | docs/ground_truths.md,PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next/core/architecture
